date,name,type
01/01/2017,New Years Day,holiday
06/01/2017,Epiphany,holiday
07/01/2017,Saint John,observance
30/01/2017,The Three Holy Hierarchs,observance
14/02/2017,Valentine's Day,observance
16/02/2017,Tsiknopempti,observance
27/02/2017,Clean Monday,holiday
25/03/2017,Indepedence Day,holiday
01/04/2017,Greek Cypriot National Day,observance
14/04/2017,Orthodox Good Friday,holiday
16/04/2017,Orthodox Easter Sunday,observance
17/04/2017,Orthodox Easter Monday,holiday
20/04/2017,Saint George,observance
01/05/2017,Labour Day,holiday
21/05/2017,Saint Constantine and Eleni,observance
04/06/2017,Orthodox Holy Spirit Sunday,observance
05/06/2017,Orthodox Holy Spirit Monday,holiday
15/08/2017,Dormition of the Holy Virgin,holiday
27/08/2017,unknown,observance
25/10/2017,Christmas,holiday
26/10/2017,Synaxis of the Mother of God,holiday
28/10/2017,Ochi Day,holiday
08/11/2017,Saint Michael,observance
17/11/2017,Polytechneio,holiday
